,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-02,74.059998,75.150002,73.797501,75.087502,74.207466,135480400
1,2020-01-03,74.287498,75.144997,74.125,74.357498,73.486023,146322800
2,2020-01-06,73.447502,74.989998,73.1875,74.949997,74.071579,118387200
3,2020-01-07,74.959999,75.224998,74.370003,74.597504,73.723213,108872000
4,2020-01-08,74.290001,76.110001,74.290001,75.797501,74.909149,132079200
5,2020-01-09,76.809998,77.607498,76.550003,77.407501,76.500275,170108400
6,2020-01-10,77.650002,78.167503,77.0625,77.582497,76.673225,140644800
7,2020-01-13,77.910004,79.267502,77.787498,79.239998,78.311295,121532000
8,2020-01-14,79.175003,79.392502,78.042503,78.169998,77.253838,161954400
9,2020-01-15,77.962502,78.875,77.387497,77.834999,76.922775,121923600
10,2020-01-16,78.397499,78.925003,78.022499,78.809998,77.886337,108829200
11,2020-01-17,79.067497,79.684998,78.75,79.682503,78.748619,137816400
12,2020-01-21,79.297501,79.754997,79.0,79.142502,78.214951,110843200
13,2020-01-22,79.644997,79.997498,79.327499,79.425003,78.494141,101832400
14,2020-01-23,79.480003,79.889999,78.912498,79.807503,78.872154,104472000
15,2020-01-24,80.0625,80.832497,79.379997,79.577499,78.644852,146537600
16,2020-01-27,77.514999,77.942497,76.220001,77.237503,76.332275,161940000
17,2020-01-28,78.150002,79.599998,78.047501,79.422501,78.491669,162234000
18,2020-01-29,81.112503,81.962502,80.345001,81.084999,80.134674,216229200
19,2020-01-30,80.135002,81.022499,79.6875,80.967499,80.018555,126743200
20,2020-01-31,80.232498,80.669998,77.072502,77.377502,76.470634,199588400
21,2020-02-03,76.074997,78.372498,75.555,77.165001,76.260628,173788400
22,2020-02-04,78.827499,79.910004,78.407501,79.712502,78.778267,136616400
23,2020-02-05,80.879997,81.190002,79.737503,80.362503,79.420647,118826800
24,2020-02-06,80.642502,81.305,80.065002,81.302498,80.349632,105425600
25,2020-02-07,80.592499,80.849998,79.5,80.0075,79.257469,117684000
26,2020-02-10,78.544998,80.387497,78.462502,80.387497,79.633904,109348800
27,2020-02-11,80.900002,80.974998,79.677498,79.902496,79.153442,94323200
28,2020-02-12,80.3675,81.805,80.3675,81.800003,81.033165,113730400
29,2020-02-13,81.047501,81.555,80.837502,81.217499,80.456116,94747600
30,2020-02-14,81.184998,81.495003,80.712502,81.237503,80.475937,80113600
31,2020-02-18,78.839996,79.9375,78.652496,79.75,79.00238,152531200
