,Date,Open,High,Low,Close,Adj Close,Volume
37,2020-02-26,142.899994,144.059998,139.600006,139.75,130.940445,5407900
38,2020-02-27,137.240005,138.690002,133.009995,133.110001,124.719025,8421100
39,2020-02-28,129.979996,131.089996,126.360001,130.149994,121.94561,13009400
40,2020-03-02,130.75,134.440002,127.949997,134.300003,125.834015,8531400
41,2020-03-03,134.479996,136.100006,127.800003,128.899994,120.774406,7896100
42,2020-03-04,131.580002,134.279999,129.0,134.220001,125.759056,4996400
43,2020-03-05,130.5,132.289993,128.449997,129.550003,121.38343,5446200
44,2020-03-06,126.699997,128.330002,124.519997,127.730003,119.678162,8193300
45,2020-03-09,120.160004,122.410004,117.279999,117.809998,110.383499,10757500
46,2020-03-10,122.779999,124.879997,115.760002,124.769997,116.904755,11410700
47,2020-03-11,121.010002,122.580002,116.379997,117.970001,110.533409,8446500
48,2020-03-12,109.650002,109.800003,102.279999,102.809998,96.329071,12512700
49,2020-03-13,108.68,109.160004,100.809998,107.949997,101.14505,12502100
50,2020-03-16,98.0,107.410004,95.0,99.080002,92.834198,10568000
51,2020-03-17,100.610001,107.400002,97.099998,106.650002,99.927002,9258300
52,2020-03-18,99.410004,106.93,99.400002,103.550003,97.022423,8772500
53,2020-03-19,102.330002,103.690002,98.239998,100.339996,94.014771,8396500
54,2020-03-20,100.919998,100.989998,94.709999,95.389999,89.376808,10546500
55,2020-03-23,94.599998,97.739998,90.559998,94.769997,88.795891,9729400
56,2020-03-24,99.989998,106.040001,99.260002,105.480003,98.830757,7973900
57,2020-03-25,105.480003,112.480003,102.830002,105.849998,99.177429,8654000
58,2020-03-26,106.910004,113.150002,105.57,112.889999,105.773651,7153500
59,2020-03-27,108.580002,111.5,107.650002,108.029999,101.220009,6423000
60,2020-03-30,108.089996,113.459999,107.809998,112.93,105.811119,5564500
61,2020-03-31,112.0,113.809998,110.169998,110.93,103.937202,6343300
62,2020-04-01,106.360001,109.919998,104.519997,105.139999,98.512184,6112900
63,2020-04-02,105.370003,110.32,105.139999,110.0,103.065826,6328700
64,2020-04-03,108.919998,110.07,104.919998,106.339996,99.636543,4538800
65,2020-04-06,110.349998,115.629997,110.129997,114.82,107.581993,7034200
66,2020-04-07,118.800003,119.57,114.870003,114.940002,107.69442,5595300
67,2020-04-08,116.309998,119.959999,115.07,119.290001,111.770203,5158600
68,2020-04-09,120.480003,122.919998,120.169998,121.5,113.840897,5576200
69,2020-04-13,121.629997,121.800003,118.040001,121.150002,113.512962,5119700
70,2020-04-14,123.459999,125.18,122.620003,123.910004,116.098969,5088700
71,2020-04-15,119.120003,120.190002,116.760002,118.690002,111.208031,5637300
72,2020-04-16,119.010002,119.75,114.419998,115.730003,108.434616,6457600
73,2020-04-17,119.300003,120.389999,117.919998,120.120003,112.547882,4966000
74,2020-04-20,119.150002,122.860001,118.139999,120.410004,112.819603,8181700
75,2020-04-21,114.0,117.150002,112.059998,116.760002,109.399696,14349000
76,2020-04-22,119.870003,120.330002,117.550003,119.309998,111.788933,7086500
77,2020-04-23,119.57,123.029999,119.120003,121.349998,113.70034,6881600
78,2020-04-24,122.410004,125.0,120.760002,124.720001,116.85791,4985900
79,2020-04-27,125.559998,126.989998,125.470001,125.919998,117.982262,4923800
80,2020-04-28,128.029999,128.199997,125.379997,126.269997,118.310196,4778100
81,2020-04-29,128.880005,129.309998,127.529999,128.690002,120.577652,5257600
82,2020-04-30,126.519997,127.269997,125.220001,125.559998,117.644943,6635800
83,2020-05-01,123.190002,123.470001,121.389999,121.870003,114.187569,4925500
84,2020-05-04,120.82,121.970001,119.389999,121.68,114.009537,4017900
85,2020-05-05,123.389999,124.32,122.470001,122.580002,114.852806,3899400
